iter	Passed	Remaining
917	17640	1575
918	17658	1556
919	17675	1536
920	17693	1517
921	17710	1498
922	17728	1479
923	17747	1459
924	17764	1440
925	17782	1421
926	17801	1401
927	17820	1382
928	17839	1363
929	17856	1344
930	17874	1324
931	17893	1305
932	17911	1286
933	17929	1266
934	17947	1247
935	17965	1228
936	17983	1209
937	18001	1189
938	18018	1170
939	18036	1151
940	18054	1132
941	18072	1112
942	18090	1093
943	18108	1074
944	18126	1055
945	18145	1035
946	18167	1016
947	18185	997
948	18203	978
949	18221	959
950	18238	939
951	18256	920
952	18274	901
953	18292	882
954	18311	862
955	18331	843
956	18364	825
957	18382	805
958	18401	786
959	18418	767
960	18437	748
961	18455	728
962	18472	709
963	18491	690
964	18509	671
965	18526	652
966	18544	632
967	18560	613
968	18578	594
969	18596	575
970	18614	555
971	18631	536
972	18649	517
973	18667	498
974	18685	479
975	18703	459
976	18722	440
977	18740	421
978	18759	402
979	18780	383
980	18798	364
981	18816	344
982	18833	325
983	18850	306
984	18868	287
985	18887	268
986	18905	249
987	18922	229
988	18939	210
989	18956	191
990	18974	172
991	18992	153
992	19010	134
993	19028	114
994	19044	95
995	19063	76
996	19081	57
997	19100	38
998	19118	19
999	19138	0
